Date,Supply
1988 Q1,322077
1988 Q2,333806
1988 Q3,351087
1988 Q4,362572
1989 Q1,377481
1989 Q2,393245
1989 Q3,410048
1989 Q4,428126
1990 Q1,444136
1990 Q2,460088
1990 Q3,469359
1990 Q4,479402
1991 Q1,485805
1991 Q2,494270
1991 Q3,499957
1991 Q4,508088
1992 Q1,513148
1992 Q2,519033
1992 Q3,524069
1992 Q4,525651
1993 Q1,529640
1993 Q2,533810
1993 Q3,540213
1993 Q4,549006
1994 Q1,558220
1994 Q2,561911
1994 Q3,566817
1994 Q4,574978
1995 Q1,587704
1995 Q2,599890
1995 Q3,614526
1995 Q4,631261
1996 Q1,644653
1996 Q2,658899
1996 Q3,677343
1996 Q4,690961
1997 Q1,708679
1997 Q2,724651
1997 Q3,707399
1997 Q4,719860
1998 Q1,739512
1998 Q2,752364
1998 Q3,771936
1998 Q4,781139
1999 Q1,789379
1999 Q2,796147
1999 Q3,796012
1999 Q4,813224
2000 Q1,831217
2000 Q2,850192
2000 Q3,867428
2000 Q4,881561
2001 Q1,900263
2001 Q2,915148
2001 Q3,938015
2001 Q4,940114
2002 Q1,949334
2002 Q2,969550
2002 Q3,991418
2002 Q4,1005807
2003 Q1,1017622
2003 Q2,1043320
2003 Q3,1052959
2003 Q4,1077573
2004 Q1,1099149
2004 Q2,1127853
2004 Q3,1149453
2004 Q4,1173596
2005 Q1,1212719
2005 Q2,1243616
2005 Q3,1277448
2005 Q4,1322099
2006 Q1,1361195
2006 Q2,1411775
2006 Q3,1460786
2006 Q4,1492705
2007 Q1,1537548
2007 Q2,1591047
2007 Q3,1647870
2007 Q4,1669733
2008 Q1,1712533
2008 Q2,1760041
2008 Q3,1825935
2008 Q4,1933942
2009 Q1,2004805
2009 Q2,1979300
2009 Q3,2010935
2009 Q4,2043196
2010 Q1,2225297
2010 Q2,2207319
2010 Q3,2183300
2010 Q4,2155083
2011 Q1,2168316
2011 Q2,2161649
2011 Q3,2132483
2011 Q4,2086620
2012 Q1,2072318
2012 Q2,2069623
2012 Q3,2080057
2012 Q4,2090210
2013 Q1,2096071
2013 Q2,2097970
2013 Q3,2144180
2013 Q4,2104825
2014 Q1,2115609
2014 Q2,2111754
2014 Q3,2111432
2014 Q4,2103454
2015 Q1,2110567
2015 Q2,2111099
2015 Q3,2099304
2015 Q4,2115160
2016 Q1,2134784
2016 Q2,2188885
2016 Q3,2228792
2016 Q4,2246155
2017 Q1,2292226
2017 Q2,2313614
2017 Q3,2355565
2017 Q4,2355063
2018 Q1,2358891
2018 Q2,2374782
2018 Q3,2383020
2018 Q4,2410983
2019 Q1,2420452
2019 Q2,2426998
2019 Q3,2474596
2019 Q4,2508025
2020 Q1,2619068
2020 Q2,2752055
2020 Q3,2783090
2020 Q4,2812052
2021 Q1,2875313
2021 Q2,2917150
2021 Q3,2948802
2021 Q4,2989561
2022 Q1,3029680
2022 Q2,3033112
2022 Q3,3108989
2022 Q4,3036526
2023 Q1,3037234
2023 Q2,3033388
2023 Q3,2981831
2023 Q4,3000959
2024 Q1,3041211
2024 Q2,3057115
